Comuna	Sector	Hectáreas	Hombres	Mujeres	Suicidios	Mujeres10_14	Nacimientos
1	Popular	333.04	62027	68887	5	5488	31
2	Santa_Cruz	219.52	52777	59215	6	4215	19
3	Manrique	546.65	76922	83456	10	5539	28
4	Aranjuez	487.72	77547	85049	11	5062	24
5	Castilla	609.69	71212	79135	8	4072	14
6	12_Octubre	383.56	92134	102105	9	6233	20
7	Robledo	938.22	82058	91017	7	5469	24
8	Villa_Hermosa	577.74	66383	71662	8	4993	21
9	Buenos_ires	599.63	64680	72369	10	3621	28
10	La_Candelaria	735.63	41741	43846	6	1826	12
11	Laureles_Estadio	741.61	53623	68880	3	1967	1
12	La_America	389.49	43107	53506	2	1588	3
13	San_Javier	700	66393	72232	8	5260	14
14	El_Poblado	1432.58	59040	71166	4	2256	1
15	Guayabal	760.33	44828	50132	7	2247	5
16	Belen	883.12	90305	106818	14	4900	13
