Precio	Mts2
520	245
395	124
278	50
440	227
310	106
315	120
370	125
307	127
340	156
348	160
370	125
440	254
285	80
335	79
320	160
730	230
460	213
259	59
325	81
650	302
335	100
328	80
350	120
340	108
275	60
473	246
390	164
293	91
470	270
290	80
420	207
318	71
520	223
365	180
353	140
750	407
500	210
315	100
382	127
323	94
440	126
450	227
375	204
335	170
415	187
440	250
285	97
520	196
430	141
410	190
325	138
480	282
289	85
370	134
430	196
335	140
330	120
367	125
317	80
296	92
340	138
